Date,Open,High,Low,Close,Adj Close,Volume
2010-09-13,4.690000,4.800000,4.510000,4.760000,4.324210,48500
2010-09-20,4.840000,4.920000,4.710000,4.860000,4.415057,130900
2010-09-27,4.850000,5.100000,4.750000,5.040000,4.578575,113100
2010-10-04,5.100000,5.100000,4.940000,5.000000,4.542237,63800
2010-10-11,5.020000,5.250000,5.000000,5.210000,4.733010,149900
2010-10-18,5.090000,5.250000,4.900000,5.210000,4.733010,120100
2010-10-25,5.110000,5.490000,5.070000,5.250000,4.769350,225700
2010-11-01,5.260000,5.340000,5.110000,5.270000,4.787517,88400
2010-11-08,5.270000,5.310000,4.980000,5.090000,4.623998,137700
2010-11-15,5.130000,5.270000,5.010000,5.070000,4.605829,119600
2010-11-22,5.120000,5.220000,4.700000,4.810000,4.369633,95500
2010-11-29,4.810000,4.810000,4.500000,4.800000,4.360548,315600
2010-12-06,4.860000,4.870000,4.650000,4.700000,4.269703,137200
2010-12-13,4.770000,4.840000,4.650000,4.740000,4.306040,96000
2010-12-20,4.840000,4.990000,4.750000,4.930000,4.478644,69600
2010-12-27,4.930000,4.990000,4.650000,4.850000,4.405970,96800
2011-01-03,4.900000,5.140000,4.620000,4.850000,4.405970,184600
2011-01-10,4.980000,4.980000,4.750000,4.940000,4.487730,51300
2011-01-17,5.080000,5.080000,4.900000,4.930000,4.478644,52400
2011-01-24,4.990000,5.040000,4.930000,5.020000,4.560406,97300
2011-01-31,5.070000,5.290000,5.030000,5.200000,4.723928,114400
2011-02-07,5.240000,5.700000,5.110000,5.630000,5.114559,129900
2011-02-14,5.620000,5.910000,5.530000,5.540000,5.032798,194300
2011-02-21,5.520000,5.650000,5.110000,5.650000,5.132728,169800
2011-02-28,5.690000,5.980000,5.520000,5.850000,5.314417,136700
2011-03-07,5.880000,5.880000,5.520000,5.610000,5.096392,62100
2011-03-14,5.750000,5.890000,5.330000,5.520000,5.014629,168100
2011-03-21,5.470000,5.660000,5.330000,5.570000,5.060053,84000
2011-03-28,5.550000,5.590000,5.320000,5.470000,4.969208,109900
2011-04-04,5.500000,5.940000,5.460000,5.760000,5.232657,134300
2011-04-11,5.760000,6.140000,5.750000,5.970000,5.423430,147700
2011-04-18,6.010000,6.130000,5.900000,6.110000,5.550613,67800
2011-04-25,6.120000,6.460000,6.060000,6.400000,5.814062,122600
2011-05-02,6.420000,6.570000,5.750000,6.370000,5.786810,186400
2011-05-09,6.430000,6.530000,5.750000,5.990000,5.441600,139500
2011-05-16,5.990000,6.170000,5.840000,6.140000,5.600560,74200
2011-05-23,6.240000,6.250000,5.900000,5.970000,5.445495,75900
2011-05-30,6.070000,6.070000,5.610000,5.640000,5.144487,95000
2011-06-06,5.600000,5.620000,5.420000,5.490000,5.007667,130300
2011-06-13,5.450000,6.010000,5.440000,5.610000,5.117125,124800
2011-06-20,5.550000,5.750000,5.420000,5.480000,4.998545,72200
2011-06-27,5.430000,5.700000,5.420000,5.700000,5.199215,99300
2011-07-04,5.740000,5.790000,5.600000,5.670000,5.171851,30900
2011-07-11,5.660000,5.770000,5.590000,5.610000,5.117125,52300
2011-07-18,5.610000,6.060000,5.230000,5.990000,5.463737,148400
2011-07-25,5.990000,6.060000,5.620000,5.710000,5.208338,101900
2011-08-01,5.690000,5.890000,5.280000,5.450000,4.971181,136800
2011-08-08,5.400000,5.480000,5.050000,5.230000,4.770509,149100
2011-08-15,5.230000,5.510000,5.090000,5.230000,4.793162,110400
2011-08-22,5.290000,5.450000,5.090000,5.400000,4.948963,68800
2011-08-29,5.410000,5.960000,5.410000,5.630000,5.159751,72200
2011-09-05,5.600000,6.050000,5.560000,5.690000,5.214738,57100
2011-09-12,5.650000,6.120000,5.650000,6.120000,5.608824,72000
2011-09-19,6.000000,6.140000,5.580000,5.590000,5.123093,74900
2011-09-26,5.780000,6.030000,5.610000,5.920000,5.425530,99600
2011-10-03,6.250000,6.250000,5.410000,5.970000,5.471354,161900
2011-10-10,6.000000,6.330000,5.920000,6.100000,5.590495,100300
2011-10-17,6.020000,6.140000,5.980000,6.130000,5.617989,51600
2011-10-24,6.130000,6.300000,6.010000,6.130000,5.617989,84600
2011-10-31,5.980000,6.150000,5.640000,5.990000,5.489682,140900
2011-11-07,5.900000,6.050000,5.700000,5.850000,5.361375,100200
2011-11-14,5.840000,5.920000,5.600000,5.750000,5.292423,111400
2011-11-21,5.650000,5.890000,5.610000,5.680000,5.227993,91100
2011-11-28,5.680000,6.040000,5.670000,5.750000,5.292423,111300
2011-12-05,5.760000,5.760000,5.500000,5.540000,5.099134,52900
2011-12-12,5.540000,5.860000,5.120000,5.630000,5.181973,144500
2011-12-19,5.680000,5.940000,5.580000,5.660000,5.209583,119500
2011-12-26,5.570000,5.760000,5.510000,5.600000,5.154360,105600
2012-01-02,5.670000,5.700000,5.400000,5.700000,5.246400,71100
2012-01-09,5.700000,6.040000,5.680000,5.760000,5.301627,147100
2012-01-16,5.730000,5.970000,5.700000,5.920000,5.448896,32500
2012-01-23,5.850000,6.010000,5.720000,5.720000,5.264811,46800
2012-01-30,5.790000,5.960000,5.610000,5.780000,5.320035,189400
2012-02-06,5.800000,6.020000,5.750000,5.930000,5.458097,125000
2012-02-13,5.920000,6.050000,5.870000,6.010000,5.554995,194500
2012-02-20,6.010000,6.030000,5.890000,5.900000,5.453323,202600
2012-02-27,5.900000,6.000000,5.850000,5.920000,5.471809,404400
2012-03-05,5.880000,6.140000,5.830000,5.960000,5.508780,276400
2012-03-12,6.000000,6.210000,5.980000,6.030000,5.573481,168900
2012-03-19,6.000000,6.790000,6.000000,6.760000,6.248214,220100
2012-03-26,6.790000,7.590000,6.770000,7.550000,6.978405,280100
2012-04-02,7.510000,7.570000,7.150000,7.500000,6.932189,122800
2012-04-09,7.420000,7.470000,7.150000,7.390000,6.830516,147900
2012-04-16,7.360000,7.540000,7.340000,7.510000,6.941433,138500
2012-04-23,7.510000,7.760000,7.400000,7.430000,6.867488,206400
2012-04-30,7.450000,7.650000,7.420000,7.500000,6.932189,243200
2012-05-07,7.500000,7.720000,7.420000,7.550000,6.978405,160000
2012-05-14,7.510000,7.600000,6.910000,7.260000,6.732593,113500
2012-05-21,7.260000,7.350000,7.130000,7.250000,6.723321,111800
2012-05-28,7.250000,7.420000,7.080000,7.400000,6.862423,122100
2012-06-04,7.330000,7.450000,7.100000,7.410000,6.871696,99300
2012-06-11,7.450000,7.500000,7.150000,7.460000,6.918064,186300
2012-06-18,7.390000,8.590000,7.380000,8.160000,7.567213,2249700
2012-06-25,8.090000,8.440000,7.850000,8.320000,7.715590,372800
2012-07-02,8.320000,8.590000,8.270000,8.560000,7.938155,152200
2012-07-09,8.560000,8.870000,8.450000,8.750000,8.114353,338100
2012-07-16,8.670000,8.790000,8.590000,8.600000,7.975248,253700
2012-07-23,8.510000,8.510000,7.720000,8.290000,7.687768,177800
2012-07-30,8.320000,8.320000,7.650000,7.990000,7.409564,227800
2012-08-06,8.020000,8.750000,7.840000,8.690000,8.058710,216900
2012-08-13,8.700000,8.940000,8.620000,8.830000,8.188539,308700
2012-08-20,8.780000,9.110000,8.450000,8.500000,7.904720,140000
2012-08-27,8.500000,9.250000,8.460000,9.040000,8.406894,253400
2012-09-03,9.050000,9.410000,9.000000,9.270000,8.620791,269800
2012-09-10,9.410000,10.330000,9.360000,10.250000,9.532158,496300
2012-09-17,10.250000,10.400000,9.730000,9.820000,9.132273,279700
2012-09-24,9.830000,10.070000,9.440000,9.670000,8.992780,209900
2012-10-01,9.730000,9.880000,9.260000,9.540000,8.871883,206700
2012-10-08,9.540000,9.790000,9.340000,9.700000,9.020678,222300
2012-10-15,9.740000,10.360000,9.670000,9.970000,9.271770,169700
2012-10-22,10.370000,10.970000,10.060000,10.590000,9.848345,250400
2012-10-29,10.560000,11.410000,10.500000,10.850000,10.090138,150900
2012-11-05,10.990000,11.440000,10.720000,10.840000,10.080838,182500
2012-11-12,10.950000,11.080000,10.570000,10.920000,10.178306,248300
2012-11-19,11.040000,11.260000,10.670000,11.210000,10.448606,90900
2012-11-26,11.210000,11.220000,10.470000,11.110000,10.355401,212200
2012-12-03,11.220000,11.230000,10.770000,11.140000,10.383363,154900
2012-12-10,11.130000,11.440000,11.070000,11.420000,10.644346,221800
2012-12-17,11.470000,11.990000,11.350000,11.560000,10.774838,271400
2012-12-24,11.520000,11.850000,11.330000,11.650000,10.858723,120500
2012-12-31,11.650000,13.590000,11.480000,13.220000,12.322090,431800
2013-01-07,13.150000,13.250000,12.900000,12.900000,12.023824,139500
2013-01-14,12.880000,13.960000,12.880000,13.850000,12.909303,190400
2013-01-21,13.880000,14.570000,13.100000,13.660000,12.732205,209900
2013-01-28,13.640000,14.250000,13.400000,14.040000,13.086393,270700
2013-02-04,13.940000,14.850000,13.850000,14.720000,13.720209,227800
2013-02-11,14.730000,15.730000,14.220000,15.670000,14.605685,270900
2013-02-18,15.700000,16.459999,15.000000,16.330000,15.246749,554900
2013-02-25,16.530001,18.410000,16.379999,17.959999,16.768623,880000
2013-03-04,18.160000,20.000000,18.020000,19.400000,18.113094,1073000
2013-03-11,19.540001,19.740000,19.000000,19.250000,17.973053,1198900
2013-03-18,19.010000,20.709999,18.209999,20.150000,18.813351,1063700
2013-03-25,20.459999,21.500000,20.299999,21.250000,19.840382,833800
2013-04-01,21.580000,21.740000,20.059999,20.790001,19.410896,1019100
2013-04-08,20.969999,22.320000,19.930000,20.049999,18.719988,943000
2013-04-15,19.830000,19.830000,16.510000,16.840000,15.722921,1611400
2013-04-22,16.840000,18.340000,16.230000,17.500000,16.339138,957200
2013-04-29,17.549999,17.809999,16.549999,16.879999,15.760262,1321300
2013-05-06,16.920000,17.360001,16.270000,17.330000,16.180412,493600
2013-05-13,17.330000,17.799999,17.049999,17.590000,16.423170,626300
2013-05-20,17.500000,17.740000,15.120000,17.219999,16.101120,600200
2013-05-27,17.350000,20.450001,17.350000,18.930000,17.700005,835800
2013-06-03,19.070000,19.190001,17.410000,19.040001,17.802858,518200
2013-06-10,19.040001,19.410000,18.379999,18.709999,17.494293,431400
2013-06-17,18.920000,19.190001,16.719999,17.200001,16.082413,477000
2013-06-24,16.950001,17.730000,16.820000,16.950001,15.848659,957900
2013-07-01,17.059999,17.740000,17.059999,17.600000,16.456423,225000
2013-07-08,17.639999,19.000000,17.490000,18.700001,17.484951,443300
2013-07-15,18.650000,19.370001,18.549999,18.820000,17.597153,485600
2013-07-22,18.719999,19.320000,18.309999,18.600000,17.391453,433000
2013-07-29,18.530001,19.120001,17.879999,17.900000,16.736925,282000
2013-08-05,17.850000,18.430000,17.510000,18.010000,16.839785,315900
2013-08-12,17.850000,19.150000,17.760000,18.660000,17.447546,394200
2013-08-19,18.660000,18.660000,17.790001,17.870001,16.732113,162500
2013-08-26,17.870001,17.980000,17.150000,17.620001,16.498028,268000
2013-09-02,17.870001,18.799999,17.320000,18.780001,17.584162,195600
2013-09-09,18.940001,19.080000,18.350000,18.790001,17.593529,387000
2013-09-16,19.040001,19.120001,18.600000,18.780001,17.584162,470400
2013-09-23,18.700001,19.000000,18.629999,18.910000,17.705881,517300
2013-09-30,18.850000,19.820000,18.770000,19.280001,18.052322,340000
2013-10-07,19.030001,19.740000,18.420000,19.420000,18.183411,521500
2013-10-14,19.240000,19.950001,19.000000,19.680000,18.426853,375600
2013-10-21,19.650000,20.299999,19.570000,20.180000,18.895010,342100
2013-10-28,20.200001,20.350000,19.709999,20.190001,18.904381,424500
2013-11-04,20.240000,20.240000,18.530001,19.299999,18.071045,579400
2013-11-11,19.219999,19.610001,18.830000,19.500000,18.282148,346800
2013-11-18,19.510000,19.510000,18.200001,18.360001,17.213345,470000
2013-11-25,18.299999,18.879999,18.299999,18.770000,17.597733,208400
2013-12-02,18.770000,18.940001,18.260000,18.379999,17.232094,181200
2013-12-09,18.350000,18.389999,17.370001,17.469999,16.378927,263400
2013-12-16,17.490000,18.100000,16.820000,17.940001,16.819572,391900
2013-12-23,18.090000,20.620001,17.680000,20.440001,19.163433,502100
2013-12-30,20.590000,20.900000,19.420000,20.370001,19.097811,523700
2014-01-06,20.370001,20.959999,19.879999,20.860001,19.557201,895900
